,sample_id,aligner_name,metric,value
0,baruzzo_human_t1r1,DeepSAP,insertions TP,290243
1,baruzzo_human_t1r1,DeepSAP,insertions FN,58572
2,baruzzo_human_t1r1,DeepSAP,insertions FP,4960
3,baruzzo_human_t1r1,DeepSAP,deletions TP,299920
4,baruzzo_human_t1r1,DeepSAP,deletions FN,46124
5,baruzzo_human_t1r1,DeepSAP,deletions FP,6477
6,baruzzo_human_t1r1,DRAGEN,insertions TP,249544
7,baruzzo_human_t1r1,DRAGEN,insertions FN,99271
8,baruzzo_human_t1r1,DRAGEN,insertions FP,4456
9,baruzzo_human_t1r1,DRAGEN,deletions TP,257702
10,baruzzo_human_t1r1,DRAGEN,deletions FN,88342
11,baruzzo_human_t1r1,DRAGEN,deletions FP,4181
12,baruzzo_human_t1r1,novoSplice,insertions TP,267848
13,baruzzo_human_t1r1,novoSplice,insertions FN,80967
14,baruzzo_human_t1r1,novoSplice,insertions FP,5969
15,baruzzo_human_t1r1,novoSplice,deletions TP,271328
16,baruzzo_human_t1r1,novoSplice,deletions FN,74716
17,baruzzo_human_t1r1,novoSplice,deletions FP,5650
18,baruzzo_human_t1r1,STAR,insertions TP,212995
19,baruzzo_human_t1r1,STAR,insertions FN,135820
20,baruzzo_human_t1r1,STAR,insertions FP,4100
21,baruzzo_human_t1r1,STAR,deletions TP,246495
22,baruzzo_human_t1r1,STAR,deletions FN,99549
23,baruzzo_human_t1r1,STAR,deletions FP,4552
24,baruzzo_human_t1r1,HISAT2,insertions TP,225318
25,baruzzo_human_t1r1,HISAT2,insertions FN,123497
26,baruzzo_human_t1r1,HISAT2,insertions FP,3017
27,baruzzo_human_t1r1,HISAT2,deletions TP,232587
28,baruzzo_human_t1r1,HISAT2,deletions FN,113457
29,baruzzo_human_t1r1,HISAT2,deletions FP,2816
30,baruzzo_human_t1r1,Subjunc,insertions TP,266747
31,baruzzo_human_t1r1,Subjunc,insertions FN,82068
32,baruzzo_human_t1r1,Subjunc,insertions FP,5606
33,baruzzo_human_t1r1,Subjunc,deletions TP,280762
34,baruzzo_human_t1r1,Subjunc,deletions FN,65282
35,baruzzo_human_t1r1,Subjunc,deletions FP,6197
36,baruzzo_human_t2r1,DeepSAP,insertions TP,1140928
37,baruzzo_human_t2r1,DeepSAP,insertions FN,281399
38,baruzzo_human_t2r1,DeepSAP,insertions FP,36337
39,baruzzo_human_t2r1,DeepSAP,deletions TP,1134478
40,baruzzo_human_t2r1,DeepSAP,deletions FN,226330
41,baruzzo_human_t2r1,DeepSAP,deletions FP,44320
42,baruzzo_human_t2r1,DRAGEN,insertions TP,986058
43,baruzzo_human_t2r1,DRAGEN,insertions FN,436269
44,baruzzo_human_t2r1,DRAGEN,insertions FP,28597
45,baruzzo_human_t2r1,DRAGEN,deletions TP,984357
46,baruzzo_human_t2r1,DRAGEN,deletions FN,376451
47,baruzzo_human_t2r1,DRAGEN,deletions FP,29388
48,baruzzo_human_t2r1,novoSplice,insertions TP,1053179
49,baruzzo_human_t2r1,novoSplice,insertions FN,369148
50,baruzzo_human_t2r1,novoSplice,insertions FP,43345
51,baruzzo_human_t2r1,novoSplice,deletions TP,1019797
52,baruzzo_human_t2r1,novoSplice,deletions FN,341011
53,baruzzo_human_t2r1,novoSplice,deletions FP,45656
54,baruzzo_human_t2r1,STAR,insertions TP,731828
55,baruzzo_human_t2r1,STAR,insertions FN,690499
56,baruzzo_human_t2r1,STAR,insertions FP,35252
57,baruzzo_human_t2r1,STAR,deletions TP,832691
58,baruzzo_human_t2r1,STAR,deletions FN,528117
59,baruzzo_human_t2r1,STAR,deletions FP,43110
60,baruzzo_human_t2r1,HISAT2,insertions TP,571754
61,baruzzo_human_t2r1,HISAT2,insertions FN,850573
62,baruzzo_human_t2r1,HISAT2,insertions FP,12050
63,baruzzo_human_t2r1,HISAT2,deletions TP,563574
64,baruzzo_human_t2r1,HISAT2,deletions FN,797234
65,baruzzo_human_t2r1,HISAT2,deletions FP,12217
66,baruzzo_human_t2r1,Subjunc,insertions TP,996241
67,baruzzo_human_t2r1,Subjunc,insertions FN,426086
68,baruzzo_human_t2r1,Subjunc,insertions FP,32629
69,baruzzo_human_t2r1,Subjunc,deletions TP,1001151
70,baruzzo_human_t2r1,Subjunc,deletions FN,359657
71,baruzzo_human_t2r1,Subjunc,deletions FP,37741
72,baruzzo_human_t3r1,DeepSAP,insertions TP,2164360
73,baruzzo_human_t3r1,DeepSAP,insertions FN,1466120
74,baruzzo_human_t3r1,DeepSAP,insertions FP,613309
75,baruzzo_human_t3r1,DeepSAP,deletions TP,2026321
76,baruzzo_human_t3r1,DeepSAP,deletions FN,1265489
77,baruzzo_human_t3r1,DeepSAP,deletions FP,567603
78,baruzzo_human_t3r1,DRAGEN,insertions TP,1666667
79,baruzzo_human_t3r1,DRAGEN,insertions FN,1963813
80,baruzzo_human_t3r1,DRAGEN,insertions FP,315112
81,baruzzo_human_t3r1,DRAGEN,deletions TP,1559964
82,baruzzo_human_t3r1,DRAGEN,deletions FN,1731846
83,baruzzo_human_t3r1,DRAGEN,deletions FP,322103
84,baruzzo_human_t3r1,novoSplice,insertions TP,1691650
85,baruzzo_human_t3r1,novoSplice,insertions FN,1938830
86,baruzzo_human_t3r1,novoSplice,insertions FP,459963
87,baruzzo_human_t3r1,novoSplice,deletions TP,1608600
88,baruzzo_human_t3r1,novoSplice,deletions FN,1683210
89,baruzzo_human_t3r1,novoSplice,deletions FP,481123
90,baruzzo_human_t3r1,STAR,insertions TP,498407
91,baruzzo_human_t3r1,STAR,insertions FN,3132073
92,baruzzo_human_t3r1,STAR,insertions FP,98637
93,baruzzo_human_t3r1,STAR,deletions TP,525772
94,baruzzo_human_t3r1,STAR,deletions FN,2766038
95,baruzzo_human_t3r1,STAR,deletions FP,112464
96,baruzzo_human_t3r1,HISAT2,insertions TP,32014
97,baruzzo_human_t3r1,HISAT2,insertions FN,3598466
98,baruzzo_human_t3r1,HISAT2,insertions FP,1630
99,baruzzo_human_t3r1,HISAT2,deletions TP,28256
100,baruzzo_human_t3r1,HISAT2,deletions FN,3263554
101,baruzzo_human_t3r1,HISAT2,deletions FP,1187
102,baruzzo_human_t3r1,Subjunc,insertions TP,463994
103,baruzzo_human_t3r1,Subjunc,insertions FN,3166486
104,baruzzo_human_t3r1,Subjunc,insertions FP,100081
105,baruzzo_human_t3r1,Subjunc,deletions TP,406401
106,baruzzo_human_t3r1,Subjunc,deletions FN,2885409
107,baruzzo_human_t3r1,Subjunc,deletions FP,100291
108,baruzzo_malaria_t1r1,DeepSAP,insertions TP,664355
109,baruzzo_malaria_t1r1,DeepSAP,insertions FN,144583
110,baruzzo_malaria_t1r1,DeepSAP,insertions FP,10529
111,baruzzo_malaria_t1r1,DeepSAP,deletions TP,661594
112,baruzzo_malaria_t1r1,DeepSAP,deletions FN,131085
113,baruzzo_malaria_t1r1,DeepSAP,deletions FP,25766
114,baruzzo_malaria_t1r1,DRAGEN,insertions TP,557731
115,baruzzo_malaria_t1r1,DRAGEN,insertions FN,251207
116,baruzzo_malaria_t1r1,DRAGEN,insertions FP,9659
117,baruzzo_malaria_t1r1,DRAGEN,deletions TP,561992
118,baruzzo_malaria_t1r1,DRAGEN,deletions FN,230687
119,baruzzo_malaria_t1r1,DRAGEN,deletions FP,34537
120,baruzzo_malaria_t1r1,novoSplice,insertions TP,665121
121,baruzzo_malaria_t1r1,novoSplice,insertions FN,143817
122,baruzzo_malaria_t1r1,novoSplice,insertions FP,13874
123,baruzzo_malaria_t1r1,novoSplice,deletions TP,652676
124,baruzzo_malaria_t1r1,novoSplice,deletions FN,140003
125,baruzzo_malaria_t1r1,novoSplice,deletions FP,22636
126,baruzzo_malaria_t1r1,STAR,insertions TP,526431
127,baruzzo_malaria_t1r1,STAR,insertions FN,282507
128,baruzzo_malaria_t1r1,STAR,insertions FP,10452
129,baruzzo_malaria_t1r1,STAR,deletions TP,576493
130,baruzzo_malaria_t1r1,STAR,deletions FN,216186
131,baruzzo_malaria_t1r1,STAR,deletions FP,17835
132,baruzzo_malaria_t1r1,HISAT2,insertions TP,496594
133,baruzzo_malaria_t1r1,HISAT2,insertions FN,312344
134,baruzzo_malaria_t1r1,HISAT2,insertions FP,8224
135,baruzzo_malaria_t1r1,HISAT2,deletions TP,502926
136,baruzzo_malaria_t1r1,HISAT2,deletions FN,289753
137,baruzzo_malaria_t1r1,HISAT2,deletions FP,27849
138,baruzzo_malaria_t1r1,Subjunc,insertions TP,687721
139,baruzzo_malaria_t1r1,Subjunc,insertions FN,121217
140,baruzzo_malaria_t1r1,Subjunc,insertions FP,15218
141,baruzzo_malaria_t1r1,Subjunc,deletions TP,693145
142,baruzzo_malaria_t1r1,Subjunc,deletions FN,99534
143,baruzzo_malaria_t1r1,Subjunc,deletions FP,31343
144,baruzzo_malaria_t2r1,DeepSAP,insertions TP,2479562
145,baruzzo_malaria_t2r1,DeepSAP,insertions FN,668154
146,baruzzo_malaria_t2r1,DeepSAP,insertions FP,97705
147,baruzzo_malaria_t2r1,DeepSAP,deletions TP,2532515
148,baruzzo_malaria_t2r1,DeepSAP,deletions FN,572795
149,baruzzo_malaria_t2r1,DeepSAP,deletions FP,170395
150,baruzzo_malaria_t2r1,DRAGEN,insertions TP,2070314
151,baruzzo_malaria_t2r1,DRAGEN,insertions FN,1077402
152,baruzzo_malaria_t2r1,DRAGEN,insertions FP,63818
153,baruzzo_malaria_t2r1,DRAGEN,deletions TP,2126575
154,baruzzo_malaria_t2r1,DRAGEN,deletions FN,978735
155,baruzzo_malaria_t2r1,DRAGEN,deletions FP,104679
156,baruzzo_malaria_t2r1,novoSplice,insertions TP,2462506
157,baruzzo_malaria_t2r1,novoSplice,insertions FN,685210
158,baruzzo_malaria_t2r1,novoSplice,insertions FP,124274
159,baruzzo_malaria_t2r1,novoSplice,deletions TP,2472627
160,baruzzo_malaria_t2r1,novoSplice,deletions FN,632683
161,baruzzo_malaria_t2r1,novoSplice,deletions FP,168589
162,baruzzo_malaria_t2r1,STAR,insertions TP,1785357
163,baruzzo_malaria_t2r1,STAR,insertions FN,1362359
164,baruzzo_malaria_t2r1,STAR,insertions FP,90828
165,baruzzo_malaria_t2r1,STAR,deletions TP,2033659
166,baruzzo_malaria_t2r1,STAR,deletions FN,1071651
167,baruzzo_malaria_t2r1,STAR,deletions FP,127250
168,baruzzo_malaria_t2r1,HISAT2,insertions TP,1228443
169,baruzzo_malaria_t2r1,HISAT2,insertions FN,1919273
170,baruzzo_malaria_t2r1,HISAT2,insertions FP,29821
171,baruzzo_malaria_t2r1,HISAT2,deletions TP,1222521
172,baruzzo_malaria_t2r1,HISAT2,deletions FN,1882789
173,baruzzo_malaria_t2r1,HISAT2,deletions FP,48590
174,baruzzo_malaria_t2r1,Subjunc,insertions TP,2434847
175,baruzzo_malaria_t2r1,Subjunc,insertions FN,712869
176,baruzzo_malaria_t2r1,Subjunc,insertions FP,97978
177,baruzzo_malaria_t2r1,Subjunc,deletions TP,2510468
178,baruzzo_malaria_t2r1,Subjunc,deletions FN,594842
179,baruzzo_malaria_t2r1,Subjunc,deletions FP,154369
180,baruzzo_malaria_t3r1,DeepSAP,insertions TP,4868392
181,baruzzo_malaria_t3r1,DeepSAP,insertions FN,3286429
182,baruzzo_malaria_t3r1,DeepSAP,insertions FP,1410154
183,baruzzo_malaria_t3r1,DeepSAP,deletions TP,4459420
184,baruzzo_malaria_t3r1,DeepSAP,deletions FN,3034668
185,baruzzo_malaria_t3r1,DeepSAP,deletions FP,1438741
186,baruzzo_malaria_t3r1,DRAGEN,insertions TP,3325273
187,baruzzo_malaria_t3r1,DRAGEN,insertions FN,4829548
188,baruzzo_malaria_t3r1,DRAGEN,insertions FP,644661
189,baruzzo_malaria_t3r1,DRAGEN,deletions TP,3046824
190,baruzzo_malaria_t3r1,DRAGEN,deletions FN,4447264
191,baruzzo_malaria_t3r1,DRAGEN,deletions FP,814163
192,baruzzo_malaria_t3r1,novoSplice,insertions TP,3970074
193,baruzzo_malaria_t3r1,novoSplice,insertions FN,4184747
194,baruzzo_malaria_t3r1,novoSplice,insertions FP,1035310
195,baruzzo_malaria_t3r1,novoSplice,deletions TP,3642076
196,baruzzo_malaria_t3r1,novoSplice,deletions FN,3852012
197,baruzzo_malaria_t3r1,novoSplice,deletions FP,1285477
198,baruzzo_malaria_t3r1,STAR,insertions TP,1675917
199,baruzzo_malaria_t3r1,STAR,insertions FN,6478904
200,baruzzo_malaria_t3r1,STAR,insertions FP,344660
201,baruzzo_malaria_t3r1,STAR,deletions TP,1655737
202,baruzzo_malaria_t3r1,STAR,deletions FN,5838351
203,baruzzo_malaria_t3r1,STAR,deletions FP,472058
204,baruzzo_malaria_t3r1,HISAT2,insertions TP,67451
205,baruzzo_malaria_t3r1,HISAT2,insertions FN,8087370
206,baruzzo_malaria_t3r1,HISAT2,insertions FP,2714
207,baruzzo_malaria_t3r1,HISAT2,deletions TP,59816
208,baruzzo_malaria_t3r1,HISAT2,deletions FN,7434272
209,baruzzo_malaria_t3r1,HISAT2,deletions FP,3194
210,baruzzo_malaria_t3r1,Subjunc,insertions TP,1196760
211,baruzzo_malaria_t3r1,Subjunc,insertions FN,6958061
212,baruzzo_malaria_t3r1,Subjunc,insertions FP,275942
213,baruzzo_malaria_t3r1,Subjunc,deletions TP,1014429
214,baruzzo_malaria_t3r1,Subjunc,deletions FN,6479659
215,baruzzo_malaria_t3r1,Subjunc,deletions FP,368767
